Question,Scientific consensus,Sources
"For which disease is the drug bedaquiline, developed in 2007, a treatment? [Tetanus; Tuberculosis; Malaria] ",There is a consensus among scientists that the drug bedaquiline is used against tubercolisis. ,"Sources: Wikipedia: https://en.wikipedia.org/wiki/Bedaquiline ;  Journal of applied microbiology: https://enviromicro-journals.onlinelibrary.wiley.com/doi/full/10.1111/jam.14478#:~:text=The%20drug%20bedaquiline%20was%20approved,%2DTB%20and%20XDR%2DTB "
What is the maximum speed a proton can attain in the largest particle collider as to 2015? [90% of the speed of light; 99% of the speed of light; the speed of light],There is a consensus among scientists that the maximum speed a proton can attain in the largest particle collider (the Large Hadron Collider) is 99% of the speed of light.,Sources: Wikipedia: https://en.wikipedia.org/wiki/Large_Hadron_Collider#Findings_and_discoveries ; CERN: https://home.cern/news/news/accelerators/first-successful-beam-record-energy-65-tev
"Kepler-452b is an exoplanet revolving around the star Kepler-452. How far away from the star is it, as established by astronomers in 2015? [97 million mi; 1,2 million mi; 1254 million mi]",There is a consensus among scientists that Kepler-452b is 97 million mi away from its star Kepler-452.,Wikipedia: https://en.wikipedia.org/wiki/Kepler-452b; NASA: https://science.nasa.gov/exoplanet-catalog/kepler-452-b/
"Using bomb-pusle dating with carbon 14, what is the age of the oldest known vertebrate, as established in 2016? [138 years; 205 years;  392 years]","There is a consensus among scientists that the oldest known vertebrate in 2016 was 392 years old, it is the Greenland shark.",Sources:  Wikipedia: https://en.wikipedia.org/wiki/Bomb_pulse#Applications Oxford University Research Archive: https://ora.ox.ac.uk/objects/uuid:6c040460-9519-4720-9669-9911bdd03b09
"How many more glials cells are there in the brain in comparison with neurons, as established in 2016? [The same amount; Twice as many; Tenth as many]",There is a consensus among scientists that there is the same amount of glial cells and neurons in the brain.,Sources: The Journal of Comparative neurology: https://onlinelibrary.wiley.com/doi/10.1002/cne.24040; Wikipedia: https://en.wikipedia.org/wiki/Glia#Total_number
"As predicted by the general theory of relativity, how many times would the Earth keep orbiting if the Sun disappeared, as established in 2012? [47 seconds; 8 minutes;  2 hours]","There is a consensus among scientists that if the Sun disappeared, the Earth would keep orbiting for 8 minutes.",Sources: Wikipedia: https://en.wikipedia.org/wiki/Gravity#Tests_of_general_relativity ; Science Bulletin: https://link.springer.com/article/10.1007/s11434-012-5603-3
"What is the electric charge of the Higgs Boson, as established in 2012? [1.602176634 × 10−19; 0; 3.2×10−19C]","There is a consensus among scientists that the Higgs Boson does not have an electric charge, it is electrically neutral.",Sources: Wikipedia: https://en.wikipedia.org/wiki/Higgs_boson#cite_ref-npr-interview_189-0; Cern: https://home.cern/science/physics/higgs-boson
"What is the age of the oldest materials formed on Earth, as established in 2020? [Less than 4.6 Ga; Around 4.6 Ga; More than 4.6 Ga]",There is a consensus among scientists that the oldest materials formed on Earth are more than 4.6 Ga years old.,Sources: Wikipedia: https://en.wikipedia.org/wiki/Oldest_dated_rocks ; Proceedings of the National Academy of Sciences: https://www.pnas.org/doi/10.1073/pnas.1904573117
"With the best current cloning techniques, what is the average success rate when operated on mice, as of 2010? [2,7%; 9,4%; 17,2%]",There is a consensus among scientists that the average success rate of the best current cloning techniques on mice is 9.4%.,Sources: Wikipedia: https://en.wikipedia.org/wiki/Cloning#cite_note-112 ; Oxford Academic: https://academic.oup.com/biolreprod/article/83/6/929/2530195?login=false
"What was the strength of the Earth magnetic field 3.7 billion years ago, as discovered this year? [15 microtesla; 30 microtesla; 45 microtesla]",There is a consensus among scientists that the strength of Earth magnetic field 3.7 billion years ago was 15 microtesla.,Sources: Phys.org : https://phys.org/news/2024-04-oldest-undisputed-evidence-earth-magnetic.html; Science News: https://www.sci.news/othersciences/geoscience/earliest-evidence-earths-magnetic-field-greenland-12884.html